second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
248,39,44,1,0.083333336,0.083333336,0.029662354,0.029662354,0.004302979,102,0.15133531,0.15133531,1,0,0,0,0
248,16,23,2,0.33333334,0.16666667,0.08456927,0.039549805,0.005737305,115,0.37833828,0.17062314,0,0,0,14,0
249,16,23,1,0.4,0.2,0.047451228,0.024921333,0.00302124,62,0.3616352,0.19496855,0,0,0,15,0
249,23,16,2,0.4,0.4,0.04518565,0.04518565,0.005477905,107,0.336478,0.336478,0,0,0,14,0
249,37,49,1,0.2,0.2,0.9073631,0.9073631,0.11000061,96,0.3018868,0.3018868,1,0,0,0,0
249,16,22,1,0.4,0.2,0.047451228,0.022529893,0.002731323,53,0.3616352,0.16666667,0,0,0,27,0
250,16,22,1,0.5,0.25,0.5,0.275,0.00302124,62,0.5,0.2897196,0,0,0,28,0
250,22,16,2,0.5,0.5,0.5,0.5,0.005493164,107,0.5,0.5,0,0,0,24,0
250,16,18,1,0.5,0.25,0.5,0.225,0.002471924,45,0.5,0.21028037,0,0,0,6,0
251,18,16,1,0.16666667,0.16666667,0.034329306,0.034329306,0.002471924,45,0.140625,0.140625,0,0,0,7,0
251,16,27,3,0.5,0.5,0.086882815,0.086882815,0.006256104,201,0.628125,0.628125,0,0,0,33,0
251,1,32,1,0.16666667,0.33333334,0.0455605,0.8787879,0.00328064,37,0.115625,0.23125,0,0,0,15,0
251,4,32,1,0.16666667,0.33333334,0.8332274,0.8787879,0.059997559,37,0.115625,0.23125,0,0,0,15,0
252,10,32,1,0.1,0.3,0.12027176,0.7219978,0.009994507,37,0.06095552,0.18286656,0,0,0,15,0
252,11,32,1,0.1,0.3,0.24072714,0.7219978,0.020004272,37,0.06095552,0.18286656,0,0,0,15,0
252,27,16,3,0.3,0.3,0.10246052,0.10246052,0.008514404,169,0.27841845,0.27841845,0,0,0,29,0
252,15,32,1,0.1,0.3,0.3609989,0.7219978,0.029998779,37,0.06095552,0.18286656,0,0,0,13,0
252,39,44,1,0.1,0.1,0.051597502,0.051597502,0.00428772,102,0.16803955,0.16803955,1,0,0,0,0
252,16,25,3,0.3,0.3,0.12394418,0.12394418,0.010299683,225,0.37067544,0.37067544,0,0,0,46,0
253,16,25,1,0.2857143,0.14285715,0.2748252,0.16153847,0.00352478,78,0.26973686,0.17105263,0,0,0,47,0
253,25,16,4,0.5714286,0.5714286,0.52797204,0.52797204,0.011520386,231,0.5065789,0.5065789,0,0,0,40,0
253,39,43,1,0.14285715,0.14285715,0.1972028,0.1972028,0.004302979,102,0.2236842,0.2236842,1,0,0,0,0
253,16,19,1,0.2857143,0.14285715,0.2748252,0.11328671,0.002471924,45,0.26973686,0.098684214,0,0,0,4,0
254,19,16,1,0.16666667,0.16666667,0.12008896,0.12008896,0.002471924,45,0.1,0.1,0,0,0,5,0
254,37,36,1,0.16666667,0.33333334,0.20904374,0.41734618,0.004302979,102,0.22666667,0.45333335,1,0,0,0,0
254,41,36,1,0.16666667,0.33333334,0.20830245,0.41734618,0.00428772,102,0.22666667,0.45333335,1,0,0,0,0
254,16,28,3,0.5,0.5,0.46256486,0.46256486,0.009521484,201,0.44666666,0.44666666,0,0,0,26,0
255,16,28,1,0.25,0.125,0.039775733,0.022638315,0.003265381,70,0.29113925,0.17721519,0,0,0,27,0
255,28,16,3,0.375,0.375,0.05902888,0.05902888,0.008514404,169,0.4278481,0.4278481,0,0,0,24,0
255,3,32,1,0.125,0.375,0.069290176,0.9011954,0.009994507,37,0.09367089,0.28101265,0,0,0,16,0
255,16,19,1,0.25,0.125,0.039775733,0.017137418,0.002471924,45,0.29113925,0.11392405,0,0,0,5,0
255,5,32,1,0.125,0.375,0.2079763,0.9011954,0.029998779,37,0.09367089,0.28101265,0,0,0,13,0
255,8,32,1,0.125,0.375,0.6239289,0.9011954,0.089996338,37,0.09367089,0.28101265,0,0,0,15,0
256,40,49,1,0.25,0.25,0.54941374,0.54941374,0.010009766,96,0.375,0.375,1,0,0,0,0
256,19,16,1,0.25,0.25,0.1356784,0.1356784,0.002471924,45,0.17578125,0.17578125,0,0,0,6,0
256,16,23,2,0.5,0.5,0.31490788,0.31490788,0.005737305,115,0.44921875,0.44921875,0,0,0,17,0
257,23,16,2,0.5,0.5,0.08053691,0.08053691,0.005493164,107,0.41796875,0.41796875,0,0,0,16,0
257,35,49,1,0.25,0.25,0.87964207,0.87964207,0.059997559,96,0.375,0.375,1,0,0,0,0
257,16,24,1,0.25,0.25,0.03982103,0.03982103,0.002716064,53,0.20703125,0.20703125,0,0,0,21,0
258,16,24,1,0.5,0.25,0.5212766,0.2632979,0.00302124,62,0.5347826,0.26956522,0,0,0,22,0
258,24,16,2,0.5,0.5,0.4787234,0.4787234,0.005493164,107,0.46521738,0.46521738,0,0,0,21,0
258,16,26,1,0.5,0.25,0.5212766,0.25797874,0.002960205,61,0.5347826,0.2652174,0,0,0,28,0
259,16,26,2,0.35714287,0.14285715,0.087018095,0.03383163,0.006561279,140,0.41196388,0.15801354,0,0,0,30,0
259,26,16,3,0.21428572,0.21428572,0.043745082,0.043745082,0.008483887,169,0.19074492,0.19074492,0,0,0,33,0
259,39,43,1,0.071428575,0.071428575,0.022029897,0.022029897,0.004272461,102,0.11512415,0.11512415,1,0,0,0,0
259,47,46,1,0.071428575,0.071428575,0.022187253,0.022187253,0.004302979,102,0.11512415,0.11512415,1,0,0,0,0
